index,gender,age,country of origin,months in europe,months in france,who with in calais,family in europe,european family,dublin applied,feel safe in calais,experienced tear gas or violence by french police
189,Male,29.0,Sudan,12.0,11.0,Alone,Yes,United Kingdom,"Yes, I applied but did not receive any result","No, I don't feel safe",Yes
190,Male,29.0,Iraq (Kurdish),2.0,2.0,With friends,Yes,United Kingdom,"No, I didn't apply","No, I don't feel safe at all",No
191,Male,29.0,Eritrea,9.0,9.0,Alone,Yes,France,"Yes, I applied but did not receive any result",So-so,Yes
192,Male,29.0,Ethiopia,9.0,9.0,Alone,Yes,France,"Yes, I applied but did not receive any result","No, I don't feel safe",No
193,Male,30.0,Sudan,7.0,7.0,,No,,,"No, I don't feel safe",No
194,Male,30.0,Pakistan,12.0,5.0,With friends,No,,,"No, I don't feel safe at all",Yes
195,Male,30.0,Sudan,24.0,23.0,Alone,No,,,"No, I don't feel safe",Yes
196,Male,30.0,Sudan,24.0,15.0,Alone,No,,,"No, I don't feel safe at all",Yes
197,Male,30.0,Sudan,24.0,23.0,Alone,Yes,United Kingdom,"No, I didn't apply","No, I don't feel safe",Yes
198,Male,30.0,Sudan,12.0,11.0,Alone,No,,,"No, I don't feel safe",Yes
199,Male,32.0,Sudan,4.0,3.0,Alone,Yes,United Kingdom,"No, I didn't apply","No, I don't feel safe at all",Yes
200,Male,32.0,Sudan,12.0,11.0,Alone,No,,,"No, I don't feel safe",Yes
201,Male,32.0,Afghanistan,36.0,35.0,Alone,Yes,United Kingdom,I applied but my application was refused,"No, I don't feel safe",Yes
202,Male,32.0,Sudan,12.0,8.0,With friends,Yes,United Kingdom,"No, I didn't apply","No, I don't feel safe at all",Yes
203,Male,32.0,Pakistan,84.0,27.0,Alone,No,,,"No, I don't feel safe at all",Yes
204,Male,32.0,Ethiopia,12.0,9.0,With friends,No,,,"No, I don't feel safe at all",Yes
205,Male,33.0,Sudan,14.0,13.0,Alone,No,,,"No, I don't feel safe at all",Yes
206,Male,35.0,Sudan,14.0,11.0,Alone,No,,,"No, I don't feel safe at all",Yes
207,Male,35.0,Sudan,14.0,13.0,Alone,No,,,"No, I don't feel safe at all",Yes
208,Male,35.0,Sudan,4.0,3.0,Alone,No,,,"No, I don't feel safe at all",Yes
209,Male,35.0,Sudan,15.0,15.0,Alone,No,,,So-so,Yes
210,Male,36.0,Sudan,4.0,3.0,Alone,No,,,"No, I don't feel safe at all",Yes
211,Male,38.0,Sudan,18.0,15.0,Alone,No,,,"No, I don't feel safe at all",Yes
212,Male,40.0,Sudan,12.0,11.0,Alone,No,,,"No, I don't feel safe at all",Yes
213,Male,41.0,Ethiopia,3.0,3.0,Alone,Yes,United Kingdom,"No, I didn't apply","No, I don't feel safe",Yes
214,Male,49.0,Sudan,6.0,6.0,Alone,No,,,So-so,No
